,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2017-12-01,3.6288565768086647,-13.974536482814182,20.501769888067415,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
1,2017-12-01,3.6288565768086647,-15.225877715144804,20.461684295216177,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
2,2017-12-01,3.6288565768086647,-12.54636716943663,21.547023007419014,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
3,2017-12-01,3.6288565768086647,-13.834886790019016,20.456637357712047,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
4,2017-12-01,3.6288565768086647,-13.408355214546592,21.09271956857293,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
5,2017-12-01,3.6288565768086647,-14.140979945666649,22.353623251700277,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
6,2017-12-01,3.6288565768086647,-13.769350985668543,20.824538801412192,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
7,2017-12-01,3.6288565768086647,-14.343493065107221,20.21700619453611,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
8,2017-12-01,3.6288565768086647,-13.49455149493504,20.449101024802157,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
9,2017-12-01,3.6288565768086647,-14.691729823245728,21.372174161231634,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
10,2017-12-01,3.6288565768086647,-15.01228510814512,19.476240827019247,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
11,2017-12-01,3.6288565768086647,-14.525352430740684,20.986504316992736,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
12,2017-12-01,3.6288565768086647,-12.373947541131116,21.935643750451096,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
13,2017-12-01,3.6288565768086647,-14.45345976901962,21.501961273962632,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
14,2017-12-01,3.6288565768086647,-13.490178236218028,21.434505795641165,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
15,2017-12-01,3.6288565768086647,-13.527120478155162,21.415040326144386,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
16,2017-12-01,3.6288565768086647,-15.149001232561961,20.79222048618957,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
17,2017-12-01,3.6288565768086647,-13.630418570498309,21.50080539990294,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
18,2017-12-01,3.6288565768086647,-14.026206548560925,21.50410984311805,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
19,2017-12-01,3.6288565768086647,-14.570938678458097,19.21374170644501,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
20,2017-12-01,3.6288565768086647,-14.287137906222933,21.4371611864749,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
21,2017-12-01,3.6288565768086647,-13.048493652995377,21.343339498383084,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
22,2017-12-01,3.6288565768086647,-14.866753445510236,20.970620062090937,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
23,2017-12-01,3.6288565768086647,-14.722555628865893,22.206192159442317,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
24,2017-12-01,3.6288565768086647,-14.123916300040818,21.111537515308846,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
25,2017-12-01,3.6288565768086647,-11.451563867150183,21.619159937194,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
26,2017-12-01,3.6288565768086647,-13.328905803565364,21.51494230467663,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
27,2017-12-01,3.6288565768086647,-13.318570248020297,21.812362687975366,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
28,2017-12-01,3.6288565768086647,-14.822380955414594,21.904912121415627,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
29,2017-12-01,3.6288565768086647,-14.843355995678799,20.298023014013822,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
30,2017-12-01,3.6288565768086647,-14.338732910988677,21.15646267979154,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
31,2017-12-01,3.6288565768086647,-14.001327519631742,20.776919714684812,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
32,2017-12-01,3.6288565768086647,-12.517168509624748,20.618475952248826,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
33,2017-12-01,3.6288565768086647,-13.630267900270738,20.34218156166273,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
34,2017-12-01,3.6288565768086647,-13.31087606483222,21.428776316468987,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
35,2017-12-01,3.6288565768086647,-15.818913631087174,19.46894202593453,3.6288565768086647,3.6288565768086647,0.0,0.0,0.0,0.0,0.0,0.0,3.6288565768086647
