dateok,dwell00
2017-12-02 09:53:00,2
2017-12-02 09:53:10,9
2017-12-02 09:53:30,14
2017-12-02 09:53:50,2
2017-12-02 09:54:10,7
2017-12-02 09:54:20,2
2017-12-02 09:54:30,9
2017-12-02 09:54:40,4
2017-12-02 09:55:10,2
2017-12-02 09:55:40,18
2017-12-02 09:55:50,25
2017-12-02 09:56:10,6
2017-12-02 09:56:20,5
2017-12-02 09:56:40,6
2017-12-02 09:57:00,1
2017-12-02 09:57:10,1
2017-12-02 09:57:30,0
2017-12-02 09:57:40,3
2017-12-02 09:58:00,1
2017-12-02 09:58:10,1
2017-12-02 09:58:20,1
2017-12-02 09:58:40,17
2017-12-02 09:59:00,6
2017-12-02 09:59:30,27
2017-12-02 09:59:50,1
2017-12-02 10:00:30,6
2017-12-02 10:00:40,2
2017-12-02 10:00:50,21
2017-12-02 10:01:00,1
2017-12-02 10:01:30,0
2017-12-02 10:02:00,0
2017-12-02 10:03:00,10
2017-12-02 10:03:10,7
2017-12-02 10:03:20,2
2017-12-02 10:03:30,0
2017-12-02 10:03:50,1
2017-12-02 10:04:10,17
2017-12-02 10:04:20,1
2017-12-02 10:04:30,2
2017-12-02 10:04:40,4
2017-12-02 10:05:00,1
2017-12-02 10:05:10,4
2017-12-02 10:05:20,0
2017-12-02 10:06:10,2
2017-12-02 10:07:00,1
2017-12-02 10:07:30,0
2017-12-02 10:08:10,7
2017-12-02 10:08:40,5
2017-12-02 10:09:00,0
2017-12-02 10:09:10,4
2017-12-02 10:09:40,0
2017-12-02 10:10:40,2
2017-12-02 10:11:30,3
2017-12-02 10:11:50,2
2017-12-02 10:12:20,15
2017-12-02 10:12:50,9
2017-12-02 10:13:00,1
2017-12-02 10:13:40,6
2017-12-02 10:14:00,0
2017-12-02 10:14:10,11
2017-12-02 10:14:40,8
2017-12-02 10:15:40,0
2017-12-02 10:16:30,0
2017-12-02 10:16:50,1
2017-12-02 10:17:10,4
2017-12-02 10:17:20,2
2017-12-02 10:17:30,8
2017-12-02 10:17:40,1
2017-12-02 10:18:20,6
2017-12-02 10:18:30,5
2017-12-02 10:18:40,15
2017-12-02 10:19:00,22
2017-12-02 10:19:10,0
2017-12-02 10:19:20,5
2017-12-02 10:19:30,3
2017-12-02 10:20:30,11
2017-12-02 10:20:40,3
2017-12-02 10:20:50,2
2017-12-02 10:21:00,9
2017-12-02 10:21:10,6
2017-12-02 10:21:40,6
2017-12-02 10:21:50,28
2017-12-02 10:22:30,16
2017-12-02 10:22:40,0
2017-12-02 10:22:50,2
2017-12-02 10:23:10,29
2017-12-02 10:23:20,14
2017-12-02 10:23:40,0
2017-12-02 10:23:50,2
2017-12-02 10:24:10,2
2017-12-02 10:24:20,14
2017-12-02 10:24:30,1
2017-12-02 10:25:30,13
2017-12-02 10:25:40,2
2017-12-02 10:26:10,1
2017-12-02 10:26:20,12
2017-12-02 10:26:50,54
2017-12-02 10:27:00,4
2017-12-02 10:27:30,1
2017-12-02 10:27:40,0
2017-12-02 10:27:50,6
2017-12-02 10:28:00,1
2017-12-02 10:28:50,14
2017-12-02 10:29:00,0
2017-12-02 10:29:30,6
2017-12-02 10:29:50,3
2017-12-02 10:30:20,1
2017-12-02 10:30:30,1
2017-12-02 10:30:40,22
2017-12-02 10:31:00,0
2017-12-02 10:31:10,9
2017-12-02 10:31:30,0
2017-12-02 10:32:00,3
2017-12-02 10:32:10,7
2017-12-02 10:32:30,4
2017-12-02 10:32:40,17
2017-12-02 10:32:50,45
2017-12-02 10:33:10,1
2017-12-02 10:33:30,1
2017-12-02 10:33:50,0
2017-12-02 10:34:00,13
2017-12-02 10:34:10,1
2017-12-02 10:34:30,7
2017-12-02 10:34:40,2
2017-12-02 10:35:20,51
2017-12-02 10:35:30,14
2017-12-02 10:35:40,4
2017-12-02 10:35:50,14
2017-12-02 10:36:00,1
2017-12-02 10:36:10,163
2017-12-02 10:36:50,10
2017-12-02 10:37:00,1
2017-12-02 10:37:10,1
2017-12-02 10:37:20,4
2017-12-02 10:37:30,7
2017-12-02 10:38:00,1
2017-12-02 10:38:20,28
2017-12-02 10:38:30,3
2017-12-02 10:38:50,12
2017-12-02 10:39:10,7
2017-12-02 10:39:20,0
2017-12-02 10:39:30,3
2017-12-02 10:39:40,5
2017-12-02 10:39:50,0
2017-12-02 10:40:00,59
2017-12-02 10:40:30,2
2017-12-02 10:40:40,2
2017-12-02 10:41:40,139
2017-12-02 10:41:50,6
2017-12-02 10:42:00,6
2017-12-02 10:42:30,110
2017-12-02 10:42:50,20
2017-12-02 10:43:00,1
2017-12-02 10:43:20,0
2017-12-02 10:43:30,11
2017-12-02 10:43:50,2
2017-12-02 10:44:10,12
2017-12-02 10:44:30,5
2017-12-02 10:45:30,0
2017-12-02 10:45:50,2
2017-12-02 10:46:00,1
2017-12-02 10:46:20,15
2017-12-02 10:46:40,1
2017-12-02 10:47:10,1
2017-12-02 10:47:20,2
2017-12-02 10:47:50,26
2017-12-02 10:48:30,0
2017-12-02 10:48:50,3
2017-12-02 10:49:00,7
2017-12-02 10:49:20,35
2017-12-02 10:49:30,0
2017-12-02 10:49:50,1
2017-12-02 10:50:50,5
2017-12-02 10:51:00,2
2017-12-02 10:51:40,2
2017-12-02 10:52:00,9
2017-12-02 10:52:20,1
2017-12-02 10:52:30,8
2017-12-02 10:52:50,2
2017-12-02 10:53:00,1
2017-12-02 10:53:10,0
2017-12-02 10:53:50,0
2017-12-02 10:54:00,36
2017-12-02 10:54:10,0
2017-12-02 10:54:20,9
2017-12-02 10:54:30,4
2017-12-02 10:54:50,4
2017-12-02 10:55:10,1
2017-12-02 10:55:40,1
2017-12-02 10:55:50,0
2017-12-02 10:56:00,3
2017-12-02 10:56:10,18
2017-12-02 10:56:20,2
2017-12-02 10:56:40,8
2017-12-02 10:56:50,1
2017-12-02 10:57:30,2
2017-12-02 10:57:50,28
2017-12-02 10:58:00,22
2017-12-02 10:58:20,23
2017-12-02 10:58:30,0
2017-12-02 10:58:50,89
2017-12-02 10:59:00,3
2017-12-02 10:59:20,12
2017-12-02 10:59:30,1
2017-12-02 10:59:40,10
2017-12-02 10:59:50,2
2017-12-02 11:00:30,4
2017-12-02 11:00:40,0
2017-12-02 11:00:50,1
2017-12-02 11:01:10,10
2017-12-02 11:01:30,18
2017-12-02 11:01:40,11
2017-12-02 11:01:50,3
2017-12-02 11:02:00,5
2017-12-02 11:02:10,9
2017-12-02 11:02:20,7
2017-12-02 11:02:30,1
2017-12-02 11:02:40,1
2017-12-02 11:03:00,1
2017-12-02 11:03:10,7
2017-12-02 11:03:50,0
2017-12-02 11:04:10,1
2017-12-02 11:04:30,15
2017-12-02 11:05:00,8
2017-12-02 11:05:10,1
2017-12-02 11:05:20,1
2017-12-02 11:05:30,1
2017-12-02 11:06:00,1
2017-12-02 11:06:10,2
2017-12-02 11:06:20,7
2017-12-02 11:06:50,7
2017-12-02 11:07:00,4
2017-12-02 11:07:10,3
2017-12-02 11:07:30,18
2017-12-02 11:08:00,16
2017-12-02 11:08:10,3
2017-12-02 11:08:20,20
2017-12-02 11:08:30,27
2017-12-02 11:08:40,0
2017-12-02 11:09:00,21
2017-12-02 11:09:20,2
2017-12-02 11:10:20,4
2017-12-02 11:10:30,12
2017-12-02 11:10:50,0
