S&P 500 Index,"2,626.07",January-00-00
,,
NASDAQ Composite Index,"6,824.39",January-00-00
S&P 500 Index,"2,653.53",December-04-17
,,
NASDAQ Composite Index,"6,815.66",December-04-17
S&P 500 Index,"2,628.91",2017-12-06 13:42:13.185580
NASDAQ Composite Index,"6,773.06",2017-12-06 13:42:13.185580
