2010,2,0.193333333,3.3575,3383,0
2010,2,0.193333333,3.3575,3837,0
2010,3,0.186666667,2.85015625,2384,0
2010,3,0.186666667,2.85015625,2027,0
2010,4,0.186666667,2.79390625,2459,0
2010,4,0.186666667,2.79390625,1739,0
2010,4,0.186666667,2.79390625,1362,0
2011,1,0.156666667,3.1515,1238,0
2011,2,0.093333333,3.088548387,1435,0
2011,4,0.073333333,2.3490625,1795,0
2012,1,0.103333333,1.848387097,1179,0
2012,1,0.103333333,1.848387097,857,0
2012,3,0.143333333,1.590819672,854,0
2012,4,0.16,1.667460317,838,0
2013,2,0.116666667,1.987301587,964,0
2013,3,0.083333333,2.441612903,1438,0
2013,4,0.086666667,2.48671875,1865,0
2013,4,0.086666667,2.48671875,1272,0
2014,1,0.073333333,2.685079365,975,0
2014,3,0.09,2.510483871,957,0
2014,4,0.1,2.407777778,1192,0
2014,4,0.1,2.407777778,627,0
2015,2,0.123333333,2.055555556,644,0
2015,3,0.136666667,2.173692308,877,0
2015,4,0.16,2.085645161,425,0
2016,2,0.373333333,1.546507937,649,0
2016,4,0.45,1.5546875,906,0
2016,4,0.45,1.5546875,1053,0
2017,2,0.95,1.44375,1011,0
2017,4,1.203333333,1.280634921,1372,0
2018,1,1.446666667,1.109508197,1200,0
2018,3,1.923333333,0.926031746,1523,0
2018,4,2.22,0.858888889,1156,0
2018,4,2.22,0.858888889,809,0
2019,2,2.396666667,0.013684211,1246,0
2019,2,2.396666667,0.013684211,1681,0
2019,3,1.75,-0.2,1872,0
