date,bdi,r
1-Jan-85,978,0
1-Jul-85,819,0
1-Dec-85,820,0
1-May-86,620,0
1-Oct-86,748,0
1-Mar-87,945,0
1-Aug-87,1042,0
1-Nov-87,1299,0
1-Mar-88,1409,0
1-Aug-88,1291,0
1-Dec-88,1570,0
1-Jun-89,1459,0
1-Oct-89,1594,1
1-Jan-90,1453,1
1-Jun-90,1172,1
1-Nov-90,1400,1
1-Mar-91,1651,0
1-Aug-91,1554,0
1-Jan-92,1362,0
1-Apr-92,1149,0
1-Aug-92,1152,0
1-Jan-93,1438,0
1-Jul-93,1409,0
1-Dec-93,1196,0
1-Apr-94,1371,0
1-Aug-94,1571,0
1-Nov-94,1939,0
1-Apr-95,2115,0
1-Aug-95,1971,0
1-Nov-95,1543,0
1-Apr-96,1328,0
1-Aug-96,1157,0
1-Dec-96,1423,0
1-Jun-97,1284,0
1-Oct-97,1183,0
1-Mar-98,948,0
1-Aug-98,881,0
1-Jan-99,907,0
1-Jun-99,1026,0
1-Nov-99,1344,0
1-Apr-00,1594,0
1-Aug-00,1677,0
1-Dec-00,1478,0
1-May-01,1301,1
1-Sep-01,904,1
1-Dec-01,984,0
1-Jun-02,1078,0
1-Nov-02,1569,0
1-Jan-03,1937,0
1-Jun-03,2187,0
1-Sep-03,3436,0
1-Oct-03,4320,0
1-Jan-04,5217,0
1-Jun-04,3007,0
1-Aug-04,4322,0
1-Oct-04,5892,0
1-Jan-05,4541,0
1-Apr-05,3387,0
1-Jun-05,1833,0
1-Dec-05,2491,0
1-May-06,2569,0
1-Aug-06,3868,0
1-Nov-06,4285,0
1-Dec-06,4740,0
1-Jan-07,5237,0
1-Apr-07,6086,0
1-Jul-07,7472,0
1-Oct-07,10457,1
1-Jan-08,7558,1
1-May-08,11143,1
1-Jul-08,6204,1
1-Oct-08,839,1
1-Mar-09,1805,1
1-Jun-09,2610,1
1-Aug-09,2482,0
1-Oct-09,3065,0
1-Apr-10,2828,0
1-Jul-10,2384,0
1-Oct-10,2459,0
1-Dec-10,1362,0
1-Jan-11,1238,0
1-Jun-11,1435,0
1-Oct-11,1795,0
1-Jan-12,857,0
1-Jul-12,854,0
1-Oct-12,838,0
1-Apr-13,964,0
1-Aug-13,1438,0
1-Oct-13,1865,0
1-Dec-13,1272,0
1-Mar-14,975,0
1-Jul-14,957,0
1-Oct-14,1192,0
1-Dec-14,627,0
1-Apr-15,644,0
1-Aug-15,877,0
1-Dec-15,425,0
1-May-16,649,0
1-Oct-16,906,0
1-Dec-16,1053,0
1-May-17,1011,0
1-Oct-17,1372,0
1-Mar-18,1200,0
1-Aug-18,1523,0
1-Nov-18,1156,0
1-Dec-18,809,0
1-May-19,1246,0
1-Jun-19,1681,0
